Theorist,openalex_id,note
Alexis de Tocqueville,https://openalex.org/A5040356715,NA
Anthony Giddens,https://openalex.org/A5034980949,NA
C. Wright Mills,https://openalex.org/A5072081765,NA
Dorothy E. Smith,https://openalex.org/A5109239571,NA
Emile Durkheim,https://openalex.org/A5082331920,NA
Erving Goffman,https://openalex.org/A5057584685,NA
Georg Simmel,https://openalex.org/A5066768090,NA
George C. Homans,https://openalex.org/A5109903542,NA
George Herbert Mead,https://openalex.org/A5111378233,NA
Immanuel Wallerstein,https://openalex.org/A5033277158,NA
James S. Coleman,https://openalex.org/A5104047850,NA
Jeffrey C. Alexander,https://openalex.org/A5058196351,NA
Jürgen Habermas,https://openalex.org/A5111405639,NA
Karl Marx,https://openalex.org/A5111412543,NA
Kimberlé Crenshaw,https://openalex.org/A5084078930,NA
Max Weber,https://openalex.org/A5108348115,NA
Michel Foucault,https://openalex.org/A5005989677,NA
Norbert Elias,https://openalex.org/A5106945538,NA
Patricia Hill Collins,https://openalex.org/A5006360782,NA
Peter M. Blau,https://openalex.org/A5011264491,NA
Pierre Bourdieu,https://openalex.org/A5035242470,NA
Randall Collins,https://openalex.org/A5039696676,NA
Robert K. Merton,https://openalex.org/A5112712778,NA
Talcott Parsons,https://openalex.org/A5027748495,NA
W.E.B. Du Bois,https://openalex.org/A5113838910,NA